frequency_Hz Strouhal SPL_dB_raw p_rms_Pa
3.35438792e+01 9.29057878e-03 4.17336234e+01 2.44180605e-03
3.36704599e+01 9.32563757e-03 4.15635923e+01 2.39447115e-03
3.37970405e+01 9.36069636e-03 3.63746481e+01 1.31753573e-03
3.39236212e+01 9.39575515e-03 3.29262536e+01 8.85814278e-04
3.40502019e+01 9.43081394e-03 3.55808719e+01 1.20246818e-03
3.41767826e+01 9.46587272e-03 3.95819928e+01 1.90602958e-03
3.43033632e+01 9.50093151e-03 3.62853277e+01 1.30405641e-03
3.44299439e+01 9.53599030e-03 3.85230042e+01 1.68725299e-03
3.45565246e+01 9.57104909e-03 4.57376396e+01 3.87179162e-03
3.46831053e+01 9.60610788e-03 4.63394486e+01 4.14956360e-03
3.48096860e+01 9.64116666e-03 3.59765224e+01 1.25850840e-03
3.49362666e+01 9.67622545e-03 4.20385842e+01 2.52906041e-03
3.50628473e+01 9.71128424e-03 4.27909066e+01 2.75787974e-03
3.51894280e+01 9.74634303e-03 3.84029076e+01 1.66408449e-03
3.53160087e+01 9.78140181e-03 4.23752764e+01 2.62901955e-03
3.54425893e+01 9.81646060e-03 3.85706287e+01 1.69652956e-03
3.55691700e+01 9.85151939e-03 3.72300066e+01 1.45388591e-03
3.56957507e+01 9.88657818e-03 3.91234067e+01 1.80800794e-03
3.58223314e+01 9.92163697e-03 3.99249929e+01 1.98280334e-03
3.59489120e+01 9.95669575e-03 3.82801206e+01 1.64072586e-03
3.60754927e+01 9.99175454e-03 3.93769660e+01 1.86156539e-03
3.62020734e+01 1.00268133e-02 4.51686240e+01 3.62627884e-03
3.63286541e+01 1.00618721e-02 4.88747521e+01 5.55606859e-03
3.64552347e+01 1.00969309e-02 4.29334338e+01 2.80350727e-03
3.65818154e+01 1.01319897e-02 4.70334460e+01 4.49471641e-03
3.67083961e+01 1.01670485e-02 4.19980212e+01 2.51727729e-03
3.68349768e+01 1.02021073e-02 3.71406658e+01 1.43900826e-03
3.69615574e+01 1.02371661e-02 4.08832399e+01 2.21407328e-03
3.70881381e+01 1.02722248e-02 3.73320453e+01 1.47106634e-03
3.72147188e+01 1.03072836e-02 3.61084661e+01 1.27777181e-03
3.73412995e+01 1.03423424e-02 4.00406940e+01 2.00939212e-03
3.74678802e+01 1.03774012e-02 3.92223827e+01 1.82872806e-03
3.75944608e+01 1.04124600e-02 2.95987683e+01 6.03904704e-04
3.77210415e+01 1.04475188e-02 1.79156748e+01 1.57330794e-04
3.78476222e+01 1.04825776e-02 3.46790861e+01 1.08388774e-03
3.79742029e+01 1.05176364e-02 3.66196862e+01 1.35523406e-03
3.81007835e+01 1.05526951e-02 3.72544802e+01 1.45798819e-03
3.82273642e+01 1.05877539e-02 4.39197447e+01 3.14063329e-03
3.83539449e+01 1.06228127e-02 4.31356339e+01 2.86953610e-03
3.84805256e+01 1.06578715e-02 4.09375555e+01 2.22796196e-03
3.86071062e+01 1.06929303e-02 4.07620866e+01 2.18340513e-03
3.87336869e+01 1.07279891e-02 4.48612587e+01 3.50020057e-03
3.88602676e+01 1.07630479e-02 4.37929756e+01 3.09512915e-03
3.89868483e+01 1.07981067e-02 3.77392126e+01 1.54166717e-03
3.91134289e+01 1.08331655e-02 3.66811608e+01 1.36485977e-03
