frequency_Hz Strouhal SPL_dB_smoothed
4.32905913e+01 1.19901055e-02 3.92497549e+01
4.34171719e+01 1.20251642e-02 3.92726226e+01
4.35437526e+01 1.20602230e-02 3.92732875e+01
4.36703333e+01 1.20952818e-02 3.93074533e+01
4.37969140e+01 1.21303406e-02 3.93707053e+01
4.39234946e+01 1.21653994e-02 3.94236479e+01
4.40500753e+01 1.22004582e-02 3.94141099e+01
4.41766560e+01 1.22355170e-02 3.94335920e+01
4.43032367e+01 1.22705758e-02 3.94173509e+01
4.44298173e+01 1.23056345e-02 3.93730959e+01
4.45563980e+01 1.23406933e-02 3.94089320e+01
4.46829787e+01 1.23757521e-02 3.94545945e+01
4.48095594e+01 1.24108109e-02 3.94032159e+01
4.49361400e+01 1.24458697e-02 3.93768114e+01
4.50627207e+01 1.24809285e-02 3.93768075e+01
4.51893014e+01 1.25159873e-02 3.93977973e+01
4.53158821e+01 1.25510461e-02 3.93532477e+01
4.54424628e+01 1.25861048e-02 3.94248729e+01
4.55690434e+01 1.26211636e-02 3.94159787e+01
4.56956241e+01 1.26562224e-02 3.94237238e+01
4.58222048e+01 1.26912812e-02 3.94465431e+01
4.59487855e+01 1.27263400e-02 3.95149326e+01
4.60753661e+01 1.27613988e-02 3.94860678e+01
4.62019468e+01 1.27964576e-02 3.94697322e+01
4.63285275e+01 1.28315164e-02 3.94339893e+01
4.64551082e+01 1.28665751e-02 3.93619545e+01
4.65816888e+01 1.29016339e-02 3.93483837e+01
4.67082695e+01 1.29366927e-02 3.93616613e+01
4.68348502e+01 1.29717515e-02 3.93447016e+01
4.69614309e+01 1.30068103e-02 3.92160216e+01
4.70880115e+01 1.30418691e-02 3.92155254e+01
4.72145922e+01 1.30769279e-02 3.92027277e+01
4.73411729e+01 1.31119867e-02 3.91677996e+01
4.74677536e+01 1.31470455e-02 3.90099772e+01
4.75943342e+01 1.31821042e-02 3.90467853e+01
4.77209149e+01 1.32171630e-02 3.90778365e+01
4.78474956e+01 1.32522218e-02 3.90967603e+01
4.79740763e+01 1.32872806e-02 3.91201202e+01
4.81006570e+01 1.33223394e-02 3.91181448e+01
4.82272376e+01 1.33573982e-02 3.91487453e+01
4.83538183e+01 1.33924570e-02 3.91630891e+01
4.84803990e+01 1.34275158e-02 3.91552649e+01
4.86069797e+01 1.34625745e-02 3.91609490e+01
4.87335603e+01 1.34976333e-02 3.91904262e+01
4.88601410e+01 1.35326921e-02 3.91917025e+01
4.89867217e+01 1.35677509e-02 3.91160886e+01
4.91133024e+01 1.36028097e-02 3.90325322e+01
4.92398830e+01 1.36378685e-02 3.90186720e+01
4.93664637e+01 1.36729273e-02 3.89906015e+01
4.94930444e+01 1.37079861e-02 3.89718271e+01
4.96196251e+01 1.37430448e-02 3.89747813e+01
4.97462057e+01 1.37781036e-02 3.89599285e+01
4.98727864e+01 1.38131624e-02 3.89610609e+01
4.99993671e+01 1.38482212e-02 3.89570469e+01
5.01259478e+01 1.38832800e-02 3.89484583e+01
5.02525284e+01 1.39183388e-02 3.89081932e+01
5.03791091e+01 1.39533976e-02 3.89397941e+01
5.05056898e+01 1.39884564e-02 3.90287075e+01
5.06322705e+01 1.40235151e-02 3.90694401e+01
5.07588512e+01 1.40585739e-02 3.91075756e+01
5.08854318e+01 1.40936327e-02 3.90632349e+01
5.10120125e+01 1.41286915e-02 3.89871574e+01
5.11385932e+01 1.41637503e-02 3.89707569e+01
5.12651739e+01 1.41988091e-02 3.89632886e+01
5.13917545e+01 1.42338679e-02 3.88964627e+01
5.15183352e+01 1.42689267e-02 3.88241011e+01
5.16449159e+01 1.43039854e-02 3.87762475e+01
5.17714966e+01 1.43390442e-02 3.87901212e+01
5.18980772e+01 1.43741030e-02 3.88216242e+01
5.20246579e+01 1.44091618e-02 3.87843228e+01
5.21512386e+01 1.44442206e-02 3.87762665e+01
5.22778193e+01 1.44792794e-02 3.88184587e+01
5.24043999e+01 1.45143382e-02 3.88731766e+01
5.25309806e+01 1.45493970e-02 3.88730359e+01
5.26575613e+01 1.45844558e-02 3.88231037e+01
5.27841420e+01 1.46195145e-02 3.87766992e+01
5.29107226e+01 1.46545733e-02 3.87617495e+01
5.30373033e+01 1.46896321e-02 3.87416852e+01
5.31638840e+01 1.47246909e-02 3.86597052e+01
5.32904647e+01 1.47597497e-02 3.87197625e+01
5.34170454e+01 1.47948085e-02 3.87491909e+01
5.35436260e+01 1.48298673e-02 3.86984936e+01
5.36702067e+01 1.48649261e-02 3.86535912e+01
5.37967874e+01 1.48999848e-02 3.86340777e+01
5.39233681e+01 1.49350436e-02 3.86079413e+01
5.40499487e+01 1.49701024e-02 3.85819957e+01
5.41765294e+01 1.50051612e-02 3.85625106e+01
5.43031101e+01 1.50402200e-02 3.86203749e+01
5.44296908e+01 1.50752788e-02 3.85315967e+01
5.45562714e+01 1.51103376e-02 3.84930101e+01
5.46828521e+01 1.51453964e-02 3.85630451e+01
5.48094328e+01 1.51804551e-02 3.85390986e+01
5.49360135e+01 1.52155139e-02 3.85101362e+01
5.50625941e+01 1.52505727e-02 3.84977035e+01
5.51891748e+01 1.52856315e-02 3.83871694e+01
5.53157555e+01 1.53206903e-02 3.84278758e+01
5.54423362e+01 1.53557491e-02 3.84373916e+01
5.55689168e+01 1.53908079e-02 3.84251916e+01
5.56954975e+01 1.54258667e-02 3.83930043e+01
5.58220782e+01 1.54609254e-02 3.83395345e+01
5.59486589e+01 1.54959842e-02 3.83073176e+01
5.60752396e+01 1.55310430e-02 3.83038204e+01
5.62018202e+01 1.55661018e-02 3.83383221e+01
5.63284009e+01 1.56011606e-02 3.83026713e+01
5.64549816e+01 1.56362194e-02 3.82960892e+01
5.65815623e+01 1.56712782e-02 3.83026706e+01
5.67081429e+01 1.57063370e-02 3.82975334e+01
5.68347236e+01 1.57413958e-02 3.83123266e+01
5.69613043e+01 1.57764545e-02 3.83307145e+01
5.70878850e+01 1.58115133e-02 3.83510535e+01
5.72144656e+01 1.58465721e-02 3.83343102e+01
5.73410463e+01 1.58816309e-02 3.83179368e+01
5.74676270e+01 1.59166897e-02 3.82158502e+01
5.75942077e+01 1.59517485e-02 3.82046547e+01
5.77207883e+01 1.59868073e-02 3.82124388e+01
5.78473690e+01 1.60218661e-02 3.81764285e+01
5.79739497e+01 1.60569248e-02 3.81602588e+01
5.81005304e+01 1.60919836e-02 3.81300905e+01
5.82271110e+01 1.61270424e-02 3.81185287e+01
5.83536917e+01 1.61621012e-02 3.80743517e+01
5.84802724e+01 1.61971600e-02 3.80875881e+01
5.86068531e+01 1.62322188e-02 3.81807751e+01
5.87334338e+01 1.62672776e-02 3.82074819e+01
5.88600144e+01 1.63023364e-02 3.82198769e+01
5.89865951e+01 1.63373951e-02 3.82939389e+01
5.91131758e+01 1.63724539e-02 3.83524030e+01
5.92397565e+01 1.64075127e-02 3.83242768e+01
5.93663371e+01 1.64425715e-02 3.82425293e+01
5.94929178e+01 1.64776303e-02 3.82209737e+01
5.96194985e+01 1.65126891e-02 3.81982558e+01
5.97460792e+01 1.65477479e-02 3.82035885e+01
5.98726598e+01 1.65828067e-02 3.82511201e+01
5.99992405e+01 1.66178654e-02 3.82470393e+01
6.01258212e+01 1.66529242e-02 3.82168411e+01
6.02524019e+01 1.66879830e-02 3.82096377e+01
6.03789825e+01 1.67230418e-02 3.81724064e+01
6.05055632e+01 1.67581006e-02 3.81823676e+01
6.06321439e+01 1.67931594e-02 3.81868833e+01
6.07587246e+01 1.68282182e-02 3.81826229e+01
6.08853052e+01 1.68632770e-02 3.81549645e+01
6.10118859e+01 1.68983358e-02 3.81536144e+01
6.11384666e+01 1.69333945e-02 3.81407041e+01
6.12650473e+01 1.69684533e-02 3.81274497e+01
6.13916280e+01 1.70035121e-02 3.81457104e+01
6.15182086e+01 1.70385709e-02 3.81169100e+01
6.16447893e+01 1.70736297e-02 3.81423905e+01
6.17713700e+01 1.71086885e-02 3.81009847e+01
6.18979507e+01 1.71437473e-02 3.81122103e+01
6.20245313e+01 1.71788061e-02 3.81362528e+01
6.21511120e+01 1.72138648e-02 3.81445763e+01
6.22776927e+01 1.72489236e-02 3.81122004e+01
6.24042734e+01 1.72839824e-02 3.81492926e+01
6.25308540e+01 1.73190412e-02 3.80991749e+01
6.26574347e+01 1.73541000e-02 3.80707000e+01
6.27840154e+01 1.73891588e-02 3.80116445e+01
6.29105961e+01 1.74242176e-02 3.80106787e+01
6.30371767e+01 1.74592764e-02 3.80064412e+01
6.31637574e+01 1.74943351e-02 3.80496202e+01
6.32903381e+01 1.75293939e-02 3.81552667e+01
6.34169188e+01 1.75644527e-02 3.82077243e+01
6.35434994e+01 1.75995115e-02 3.82486067e+01
6.36700801e+01 1.76345703e-02 3.82503455e+01
6.37966608e+01 1.76696291e-02 3.82224704e+01
6.39232415e+01 1.77046879e-02 3.82097648e+01
6.40498222e+01 1.77397467e-02 3.82077250e+01
6.41764028e+01 1.77748054e-02 3.82109159e+01
6.43029835e+01 1.78098642e-02 3.82272139e+01
6.44295642e+01 1.78449230e-02 3.82443949e+01
6.45561449e+01 1.78799818e-02 3.82638138e+01
6.46827255e+01 1.79150406e-02 3.82668310e+01
6.48093062e+01 1.79500994e-02 3.82734604e+01
6.49358869e+01 1.79851582e-02 3.82720330e+01
6.50624676e+01 1.80202170e-02 3.82497834e+01
